# blastp
# Iteration: 7
# Query: Old
# RID: X021DXAD016
# Database: nr_cluster_seq
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives
# 1002 hits found
Old	WP_331812895.1	37.458	590	357	7	1	586	1	582	0.0	770	56.95
Old	WP_102519618.1	38.071	591	355	8	1	586	1	585	0.0	763	56.85
Old	WP_107188915.1	38.579	591	351	8	1	586	1	584	0.0	761	57.53
Old	WP_263255319.1	36.271	590	366	7	1	586	1	584	0.0	760	56.10
Old	WP_370136441.1	37.119	590	361	7	1	586	1	584	0.0	759	56.27
Old	WP_176980211.1	34.126	589	381	4	3	586	2	588	0.0	759	51.95
Old	WP_087823794.1	37.925	588	357	5	1	586	1	582	0.0	759	57.48
Old	WP_125280300.1	38.031	589	354	8	3	586	2	584	0.0	759	55.52
Old	MDD5509761.1	36.532	594	363	6	3	586	2	591	0.0	758	51.85
Old	WP_139526729.1	36.271	590	366	7	1	586	1	584	0.0	757	56.44
Old	WP_165662508.1	36.271	590	366	7	1	586	1	584	0.0	757	55.93
Old	WP_379070095.1	35.932	590	367	8	1	586	1	583	0.0	757	56.95
Old	WP_336129353.1	35.195	591	373	8	1	586	1	586	0.0	757	54.65
Old	WP_343808394.1	38.305	590	353	8	1	586	1	583	0.0	757	58.81
Old	WP_300485604.1	37.563	591	357	9	1	586	1	584	0.0	756	56.85
Old	WP_256049756.1	35.714	588	369	5	1	586	1	581	0.0	756	55.78
Old	WP_278396631.1	38.031	589	354	8	3	586	2	584	0.0	755	57.39
Old	WP_180096907.1	38.540	589	351	8	3	586	2	584	0.0	755	56.88
Old	WP_207907040.1	36.102	590	367	7	1	586	11	594	0.0	754	56.78
Old	WP_288101872.1	37.902	591	355	8	1	586	1	584	0.0	753	56.01
Old	WP_149694233.1	34.680	594	375	7	1	586	1	589	0.0	753	56.06
Old	WP_213662344.1	33.447	589	382	6	1	586	1	582	0.0	752	56.37
Old	WP_380736417.1	34.622	595	375	8	1	586	1	590	0.0	752	53.95
Old	WP_061519695.1	38.370	589	352	8	3	586	2	584	0.0	751	57.22
Old	MDP1814019.1	36.027	594	367	7	1	586	1	589	0.0	751	55.56
Old	MCF8428301.1	35.630	595	369	8	1	586	1	590	0.0	751	53.95
Old	WP_241293625.1	34.126	589	381	4	3	586	2	588	0.0	750	52.63
Old	WP_343368529.1	35.993	589	366	7	1	586	1	581	0.0	749	56.37
Old	WP_114994855.1	38.136	590	353	7	1	586	1	582	0.0	749	57.12
Old	WP_129967758.1	32.993	588	387	4	3	585	2	587	0.0	748	51.70
Old	WP_353294909.1	35.763	590	368	8	1	586	1	583	0.0	748	56.44
Old	WP_003284091.1	36.054	588	367	5	1	586	1	581	0.0	747	57.31
Old	MBX9891879.1	35.354	594	371	7	1	586	1	589	0.0	747	55.39
Old	MBS3993639.1	37.205	594	361	7	1	586	1	590	0.0	746	55.72
